W_S,W_S_max,WTO,S,b,c_root,S_vert,S_orizz,CL_crociera,CD,Cd0,Cdi,E_crociera,P_curr,P_tot,P_ice,P_em,phi_ice_cl,phi_ice_cr,phi_ice_de,Hp,E_batt_inst,OEW,W_wing,W_fus,W_tail,W_LG,W_propuls,W_fuelsys,W_hydr,W_battery,W_fuel,V_fuel,W_block_fuel,W_payload,ADP,flight_cost,electricity_cost,maintenance_cost,DOC,PREE,CO2
300,398.7697181,25041.74783,84.36706675,30.46371176,4.081069462,16.87341335,25.31012003,0.564645137,0.026810501,0.017320743,0.009489758,21.06059603,4383988.699,5262891.596,3157734.958,2215954.356,0.1,0.1,0.1,0.4,2514598.456,20725.63137,3682.035688,2185.311504,1316.071934,999.7720551,1636.117644,194.6246195,954.2089749,5834.457119,596.1164569,745.1455711,129.4886059,3720,28.96551338,1800.063817,1257.299228,677.7316514,0.291272528,0.886749836,409.1839945
325,398.7697181,25093.41108,77.15758018,29.13302906,3.921650579,15.43151604,23.14727405,0.611698899,0.02924399,0.018106705,0.011137286,20.9170804,4982672.568,5981599.721,3588959.833,2518568.304,0.1,0.1,0.1,0.4,2436405.47,20747.57425,3894.168279,2185.311504,1203.608584,990.5323392,1845.371041,186.4893678,874.4124443,5653.031087,625.8368354,782.2960443,147.1717581,3720,29.15612251,1807.474455,1218.202735,682.0797305,0.292654802,0.780204039,465.0627555
280,398.7697181,24587.60452,87.73226417,31.06533286,4.153203259,17.54645283,26.31967925,0.527002128,0.025167172,0.016900538,0.008266634,20.94006186,3784080.492,4542713.676,2725628.206,1912721.548,0.1,0.1,0.3,0.4,2339316.182,20272.32312,3778.798232,2185.311504,1368.566848,970.3398614,1424.891028,198.2975141,991.4558823,5427.761208,595.2814004,744.1017505,151.2490886,3720,28.34552438,1804.746059,1169.658091,666.0503061,0.290449762,0.759171517,477.9471198
350,398.7697181,24684.42361,70.46070616,27.84003893,3.766939116,14.09214123,21.13821185,0.65875266,0.031900202,0.018983586,0.012916615,20.65042309,5570786.609,6687618.979,4012571.387,2815839.57,0.1,0.1,0.1,0.4,2355949.584,20311.67691,3651.362661,2185.311504,1099.14166,974.1404473,2049.646948,178.5688774,800.2896468,5466.354595,652.7467045,815.9333806,164.5427124,3720,28.88870638,1810.815213,1177.974792,678.6132886,0.292640027,0.697837044,519.9549711
300,398.7697181,24602.01252,81.92595251,30.01975146,4.027861521,16.3851905,24.57778575,0.564645137,0.026958415,0.017468656,0.009489758,20.9450424,4257140.42,5110612.749,3066367.65,2151836.947,0.1,0.1,0.3,0.4,2261784.161,20255.95217,3943.087367,2185.311504,1277.992123,970.8435788,1591.592378,191.9121996,927.1900679,5247.868768,626.0603472,782.575434,170.1572178,3720,28.46378893,1812.320721,1130.89208,669.1329749,0.291702564,0.674811222,537.6968082
300,398.7697181,24351.12199,81.096812,29.86745607,4.00961375,16.2193624,24.3290436,0.564645137,0.027010495,0.017520737,0.009489758,20.90465685,4214055.568,5058890.237,3035334.142,2130059.047,0.3,0.1,0.1,0.4,2198584.836,20000.95917,3883.718849,2185.311504,1265.058065,961.01784,1576.452969,190.9813304,918.0129184,5101.231538,630.1628232,787.703529,178.0714592,3720,28.19790228,1813.28546,1099.292418,664.6299639,0.291286629,0.644819785,562.7058109
300,398.7697181,24054.98718,80.11756502,29.68658308,3.987944998,16.023513,24.03526951,0.564645137,0.027073269,0.01758351,0.009489758,20.85618646,4163170.692,4997803.952,2998682.371,2104338.506,0.1,0.2,0.1,0.4,2123291.384,19698.54696,3813.872408,2185.311504,1249.782443,949.4132683,1558.561998,189.8755159,907.1743502,4926.533103,636.4402167,795.5502708,188.8128751,3720,27.88188819,1814.972522,1061.645692,659.280243,0.290856072,0.608136494,596.6486854
350,398.7697181,24349.80027,69.5123672,27.65205307,3.744463378,13.90247344,20.85371016,0.65875266,0.031979695,0.019063079,0.012916615,20.59909162,5495808.735,6597609.526,4618326.668,2083455.64,0.1,0.1,0.1,0.3,2210921.021,19957.38786,3577.167224,2185.311504,1084.348183,961.0290948,2146.729176,177.4159986,789.7931769,5129.854376,672.4124027,840.5155034,189.382798,3720,28.76979018,1817.731509,1105.460511,671.356715,0.292600026,0.606306387,598.4496418
325,398.7697181,23878.3476,73.41740613,28.41815384,3.836087652,14.68348123,22.02522184,0.611698899,0.029517019,0.018379734,0.011137286,20.72359986,4741140.075,5691644.748,3414986.849,2396481.999,0.1,0.1,0.3,0.4,2126665.058,19509.50674,3615.57256,2185.311504,1145.264277,942.5157827,1761.119658,182.1122021,833.0151949,4934.360815,648.8408674,811.0510843,189.5026061,3720,27.85646987,1813.724079,1063.332529,660.0655467,0.290801629,0.605923065,598.8282354
280,398.7697181,23632.69095,84.35299745,30.46117155,4.080764966,16.87059949,25.30589923,0.527002128,0.025358901,0.017092268,0.008266634,20.78174131,3638325.48,4367737.671,2620642.602,1839047.44,0.3,0.1,0.3,0.4,2063690.311,19290.69285,3623.433987,2185.311504,1315.852462,932.9635834,1373.305126,194.6091048,954.053252,4788.24466,621.9981056,777.497632,191.7022077,3720,27.32440428,1812.474434,1031.845155,648.7747504,0.289327461,0.598970671,605.7789763
