W_S,W_S_max,WTO,S,b,c_root,S_vert,S_orizz,CL_crociera,CD,Cd0,Cdi,E_crociera,P_curr,P_tot,P_ice,P_em,phi_ice_cl,phi_ice_cr,phi_ice_de,Hp,E_batt_inst,OEW,W_wing,W_fus,W_tail,W_LG,W_propuls,W_fuelsys,W_hydr,W_battery,W_fuel,V_fuel,W_block_fuel,W_payload,ADP,flight_cost,electricity_cost,maintenance_cost,DOC,PREE,CO2
280,398.769718124363,19632.7611662169,70.0467536998006,27.7581391793075,3.75714653965245,14.0093507399601,21.0140261099402,0.527002128150666,0.0263553955905784,0.0180887617775185,0.00826663381305989,19.9959862616921,3021266.54018498,3626970.63647657,2672504.67950905,954465.956967518,0.2,0.3,0.4,0.25,948912.965232782,15290.0484400192,2927.39073878854,2185.31150416717,1092.68426849852,774.730495260643,1236.9910735834,178.066645200398,795.707909956856,2201.70023287707,622.712726197685,778.390907747106,254.003343305489,3720,23.2747930075937,1908.61515513255,474.456482616391,618.749410445296,0.306559961195091,0.366136912962399,802.650564845344
280,398.769718124363,19276.0634410876,68.7847691306488,27.5069529471575,3.72711833539415,13.7569538261298,20.6354307391946,0.527002128150666,0.0264614536459277,0.0181948198328678,0.00826663381305989,19.9158419337922,2966834.44231291,3561625.98116796,2624355.98612376,937269.995044201,0.2,0.3,0.5,0.25,855906.514600218,14924.1087136996,2848.91007212085,2185.31150416717,1072.99812156144,760.772467461522,1215.96807023728,176.525893429076,781.739926338549,1985.90349332408,631.954727387998,789.943409234997,268.433590463312,3720,22.8725513559596,1911.83291219012,427.953257300109,611.568764544701,0.306079277455798,0.346454405499266,848.250145864065
280,398.769718124363,19194.9165331473,68.4974619838491,27.4494459292413,3.72024483057738,13.6994923967698,20.5492385951547,0.527002128150666,0.0264861024723913,0.0182194686593314,0.00826663381305989,19.8973076049979,2954442.26960635,3546749.42329694,2613394.31190301,933355.111393932,0.3,0.3,0.4,0.25,834825.402806039,14841.1238719918,2831.15909458372,2185.31150416717,1068.51631501148,757.594742704906,1211.17912208368,176.173064113399,778.559933795044,1936.99037858425,633.792661155526,792.240826444407,271.460767618093,3720,22.7810861203629,1912.44340320625,417.41270140302,609.936838985239,0.305955381228782,0.342590941652526,857.816025673174
280,398.769718124363,18854.5864947497,67.2916827770406,27.2067732476206,3.69124452631752,13.4583365554081,20.1875048331122,0.527002128150666,0.0265916659448027,0.0183250321317428,0.00826663381305989,19.8183193653449,2902434.42941444,3484315.04131385,2567390.03044179,916925.010872067,0.3,0.3,0.5,0.25,745829.732661824,14491.9387653354,2756.97573843884,2185.31150416717,1049.70693554746,744.25837754097,1191.0692563222,174.68380787471,765.214046198876,1730.49958874294,642.64772941429,803.309661767862,285.276056709692,3720,22.3953105228145,1915.52747995796,372.914866330912,603.05813866819,0.305495107444468,0.32600001932388,901.472339202627
280,398.769718124363,18777.1279159741,67.017071142381,27.1512022305862,3.6846047468859,13.4034142284762,20.1051213427143,0.527002128150666,0.0266161977819427,0.0183495639688828,0.00826663381305989,19.8000530529647,2890589.84134262,3470095.84795032,2556912.73006866,913183.117881664,0.4,0.3,0.4,0.25,725650.725133436,14412.7231657932,2740.18885436423,2185.31150416717,1045.42317081476,741.221072138169,1186.48669429848,174.342692432997,762.174570988098,1683.67956709472,644.40475018089,805.505937726112,288.170610376408,3720,22.3075597904419,1916.11069330279,362.825362566718,601.49432354996,0.305376164081213,0.322725485012242,910.61912878945
280,398.769718124363,18441.9238300476,65.7871528925574,26.9009048512895,3.65470403721177,13.1574305785115,19.7361458677672,0.527002128150666,0.0267283900782084,0.0184617562651486,0.00826663381305989,19.716942419975,2837540.83251517,3406411.56364366,2509987.46794796,896424.0956957,0.4,0.3,0.5,0.25,640184.153856838,14069.728472389,2665.42067267391,2185.31150416717,1026.23723781805,727.617730232796,1165.95041498581,172.805892853135,748.561505990845,1485.37711283673,652.195357658528,815.24419707316,301.06017074436,3720,21.926029258783,1918.80177869734,320.092076928419,594.695806411369,0.304877947823371,0.30890834802246,951.350139552178
280,398.769718124363,21086.4593683356,75.2345123528112,28.7676838810656,3.87791514687975,15.0469024705622,22.5703537058433,0.527002128150666,0.0259539593479318,0.0176873255348719,0.00826663381305989,20.3052690761289,3245025.68402865,3895589.05645696,2665403.03862845,1230186.01782852,0.2,0.15,0.4,0.3,1340920.33847499,16783.7391924842,3257.34843339454,2185.31150416717,1173.60996411613,832.109164206609,1283.15472352061,184.252964990333,853.127413849593,3111.24911310041,582.72017585143,728.400219814288,192.77284925276,3720,24.823843667498,1894.28946615129,670.460169237494,648.188424498816,0.308393151551078,0.482433083084538,609.162203638723
280,398.769718124363,20699.283599565,73.8640244599775,28.5044605116419,3.84641441290501,14.7728048919955,22.1592073379933,0.527002128150666,0.0260549682078506,0.0177883343947907,0.00826663381305989,20.2265504201182,3185913.60537198,3824626.17691715,2616849.48946963,1207776.68744752,0.2,0.15,0.5,0.3,1241009.54507752,16386.7500709561,3169.1246691692,2185.31150416717,1152.23123517339,816.951010083866,1261.13780263564,182.640910870578,837.958486349112,2879.43268193154,592.53352860886,740.666910761074,208.213345555258,3720,24.3956173193187,1897.70654091397,620.504772538761,640.48866089251,0.307873677256156,0.446657248371809,657.954171954614
280,398.769718124363,20679.986653969,73.7956788730849,28.4912700244116,3.84483608682133,14.759135774617,22.1387036619255,0.527002128150666,0.0260600955766176,0.0177934617635577,0.00826663381305989,20.2225708114255,3182965.71380041,3821087.29147708,2614428.14680011,1206659.14467697,0.2,0.2,0.4,0.3,1236063.76717013,16367.0647973616,3164.75313635562,2185.31150416717,1151.16508801204,816.195080332791,1260.03926500915,182.56011142314,837.202019066203,2867.95731931196,592.921856607354,741.152320759192,208.885279375772,3720,24.3743321823576,1897.83061908943,618.031883585065,640.106072593216,0.30784232093558,0.4452204591818,660.077482827441
280,398.769718124363,20308.3328152682,72.478655613812,28.2358851774109,3.81428186970329,14.4957311227624,21.7435966841436,0.527002128150666,0.0261606335325893,0.0178939997195294,0.00826663381305989,20.1448534300272,3126159.67932035,3752892.77229334,2567768.73893755,1185124.03335579,0.2,0.2,0.5,0.3,1139897.11007486,15985.9525847971,3080.75417025688,2185.31150416717,1130.62037293756,801.628276984405,1238.85975713755,180.995404502205,822.624852466758,2644.82816091783,602.380230471102,752.975288088878,223.753955638345,3720,23.9614737859136,1901.1254298351,569.948555037428,632.689001923409,0.307342306074412,0.415635110157857,707.062499817171
