W_S,W_S_max,WTO,S,b,c_root,S_vert,S_orizz,CL_crociera,CD,Cd0,Cdi,E_crociera,P_curr,P_tot,P_ice,P_em,phi_ice_cl,phi_ice_cr,phi_ice_de,Hp,E_batt_inst,OEW,W_wing,W_fus,W_tail,W_LG,W_propuls,W_fuelsys,W_hydr,W_battery,W_fuel,V_fuel,W_block_fuel,W_payload,ADP,flight_cost,electricity_cost,maintenance_cost,costi_tot,CO2
350,398.7697181,13858.4249,39.56052139,19.88982689,3.221180284,5,6,0.65875266,0.035419609,0.021301846,0.014117763,18.59853016,3127746.44,3754797.647,2569072.074,1185725.573,0.3,0.4,0.3,0.3,349320.498,10316.3068,1330.517554,2040.943527,343.1858386,546.9308863,1239.45164,129.4770042,376.916207,873.301245,752.1180941,940.1476176,546.34529,2790,21.70198642,1723.232418,174.660249,455.4607362,2353.353403,1726.451116
300,398.7697181,14025.81483,46.70185669,21.61061237,3.451995722,5,6,0.564645137,0.029200598,0.018828365,0.010372234,19.33676595,2426781.206,2913302.768,1993312.42,919990.3478,0.3,0.5,0.3,0.3,457808.2325,10540.25886,1475.03119,2040.943527,343.1858386,553.4238394,976.2626235,140.1661437,422.8709827,1144.520581,695.5559718,869.4449647,501.2184081,2790,21.85591799,1711.280289,228.9041163,454.4782701,2394.662675,1583.85017
350,398.7697181,14374.04358,41.0106349,20.25108266,3.269529085,5,6,0.65875266,0.035015671,0.020897909,0.014117763,18.813081,3242395.772,3892431.899,2663242.879,1229189.021,0.3,0.4,0.1,0.3,503085.9794,10850.73163,1404.465841,2040.943527,343.1858386,566.9792041,1282.17564,131.7243082,386.2477449,1257.714948,733.3119564,916.6399455,523.0331592,2790,22.40407518,1721.388149,251.5429897,465.0519269,2437.983065,1652.784783
350,398.7697181,14513.68144,41.40198895,20.3474787,3.282440671,5,6,0.65875266,0.034911351,0.020793589,0.014117763,18.86929707,3273337.13,3929576.387,2688657.528,1240918.859,0.1,0.4,0.3,0.3,544028.822,10993.69301,1424.560092,2040.943527,343.1858386,572.3898116,1293.692076,132.3236705,388.7661238,1360.072055,729.9884322,912.4855403,518.4347864,2790,22.60436425,1721.399272,272.014411,467.6364975,2461.05018,1638.253925
300,398.7697181,14535.16301,48.36919504,21.99299776,3.50344688,5,6,0.564645137,0.028865183,0.018492949,0.010372234,19.56146069,2513421.559,3017312.796,2064477.176,952835.6198,0.1,0.5,0.3,0.3,610351.0465,11068.74216,1554.600319,2040.943527,343.1858386,573.1822957,1008.99727,142.5362465,433.600371,1525.877616,676.4208495,845.5260619,478.154419,2790,22.55205656,1709.432949,305.1755233,463.83441,2478.442883,1510.967964
350,398.7697181,14842.74577,42.3812934,20.58671742,3.314503206,5,6,0.65875266,0.034658474,0.020540712,0.014117763,19.0069722,3350763.208,4022524.859,2328830.182,1693694.678,0.3,0.4,0.3,0.4,675885.7461,11343.15439,1475.82664,2040.943527,343.1858386,585.9290457,1239.763037,133.8106479,395.0679867,1689.714365,709.5913826,886.9892282,495.2548485,2790,23.06798815,1717.679388,337.942873,474.8888337,2530.511095,1565.005321
350,398.7697181,15091.15979,43.08433976,20.75676751,3.337308441,5,6,0.65875266,0.034483788,0.020366025,0.014117763,19.10325682,3406347.681,4089252.918,2797909.891,1291343.027,0.1,0.4,0.1,0.3,712392.7062,11590.32001,1512.220861,2040.943527,343.1858386,595.6489179,1343.134156,134.867124,399.5921179,1780.981766,710.8397837,888.5497296,493.9709913,2790,23.38459893,1719.763053,356.1963531,478.3014178,2554.260824,1560.948333
300,398.7697181,14955.74524,49.8163308,22.31957231,3.547428891,5,6,0.564645137,0.028591645,0.018219411,0.010372234,19.74860616,2588619.466,3107586.393,1799128.965,1308457.429,0.3,0.5,0.3,0.4,761572.7198,11511.89168,1625.055742,2040.943527,343.1858386,590.3312999,973.4514957,144.5589859,442.9127469,1903.931799,653.8535598,817.3169498,452.3909782,2790,23.13411635,1705.842101,380.7863599,472.4228294,2559.051291,1429.555491
300,398.7697181,15052.84138,50.13672798,22.39123221,3.557084593,5,6,0.564645137,0.028533143,0.018160909,0.010372234,19.78909703,2605268.351,3127573.051,2139918.403,987654.6476,0.3,0.4,0.3,0.3,762072.8107,11605.28097,1640.336437,2040.943527,343.1858386,594.1281069,1043.631105,145.0026586,444.9745155,1905.182027,657.5604114,821.9505142,455.0803974,2790,23.25757168,1707.621036,381.0364053,473.3145161,2561.971957,1438.054056
350,398.7697181,15187.38291,43.35637675,20.82219411,3.346086026,5,6,0.65875266,0.034417664,0.020299901,0.014117763,19.13995858,3427855.555,4115072.695,2815576.055,1299496.641,0.3,0.3,0.3,0.3,740878.9047,11690.11248,1526.577058,2040.943527,343.1858386,599.4099296,1351.119324,135.2735004,401.3426867,1852.197262,707.2704231,884.0880288,489.5582865,2790,23.52688973,1719.383366,370.4394524,480.0990868,2569.921905,1547.004185
350,398.7697181,15344.92422,43.80140083,20.92878421,3.360389924,5,6,0.65875266,0.034311202,0.020193439,0.014117763,19.19934663,3463040.19,4157311.152,2406864.351,1750446.801,0.3,0.4,0.1,0.4,825494.0148,11863.48543,1550.644473,2040.943527,343.1858386,605.5625531,1278.682608,135.9354305,404.2064343,2063.735037,691.4387858,864.2984823,472.6830871,2790,23.74201556,1715.84001,412.7470074,484.1602048,2612.747222,1493.678555
350,398.7697181,15480.51112,44.18404536,21.02000127,3.372634562,5,6,0.65875266,0.034221319,0.020103556,0.014117763,19.24977413,3493292.952,4193628.994,2427890.47,1765738.524,0.1,0.4,0.3,0.4,865229.9152,12002.35807,1570.929276,2040.943527,343.1858386,610.8527573,1289.157177,136.5017756,406.6687669,2163.074788,688.1530552,860.1913191,468.1529218,2790,23.93318083,1715.809527,432.6149576,486.6520377,2635.076522,1479.363233
300,398.7697181,15447.90795,51.43825945,22.68000429,3.596011554,5,6,0.564645137,0.028302719,0.017930485,0.010372234,19.95020813,2672900.183,3208763.725,1857705.314,1351058.41,0.1,0.5,0.3,0.4,908462.3204,12022.35166,1704.840308,2040.943527,343.1858386,609.5516693,1003.103588,146.7899212,453.3499221,2271.155801,635.5562916,794.4453645,430.2639019,2790,23.79736146,1704.02921,454.2311602,481.3964325,2639.656803,1359.63393
300,398.7697181,15645.86897,52.0891205,22.8230411,3.615302882,5,6,0.564645137,0.028191652,0.017819419,0.010372234,20.02880609,2706721.052,3249365.008,2223249.742,1026115.266,0.1,0.4,0.3,0.3,937865.3745,12220.07714,1736.800373,2040.943527,343.1858386,617.264584,1081.809439,147.6748304,457.5382387,2344.663436,635.7918268,794.7397835,428.6934998,2790,24.05463153,1705.505928,468.9326872,484.0796719,2658.518288,1354.671459
350,398.7697181,15813.39667,45.12197332,21.24193337,3.402439935,5,6,0.65875266,0.034007226,0.019889463,0.014117763,19.3709613,3567447.709,4282650.311,2930234.423,1352415.888,0.3,0.3,0.1,0.3,925616.3569,12338.37024,1620.766769,2040.943527,343.1858386,623.8199688,1402.882294,137.8792484,412.7043706,2314.040892,685.0264342,856.2830427,461.8110497,2790,24.36157006,1717.168328,462.8081785,491.5627125,2671.539219,1459.322917
350,398.7697181,15983.92514,45.60156869,21.3545238,3.417568208,5,6,0.65875266,0.033901037,0.019783274,0.014117763,19.43163742,3605365.63,4328170.024,2961379.49,1366790.534,0.1,0.3,0.3,0.3,975133.5858,12512.99253,1646.568775,2040.943527,343.1858386,630.4505605,1416.924428,138.5778245,415.7905858,2437.833965,680.9326038,851.1657547,456.1573236,2790,24.59982264,1717.130602,487.5667929,494.6688245,2699.366219,1441.457143
300,398.7697181,15864.70842,52.80751024,22.97988473,3.63646352,5,6,0.564645137,0.028072123,0.017699889,0.010372234,20.11408745,2744050.932,3294178.789,1907156.141,1387022.648,0.1,0.5,0.1,0.4,1032994.289,12455.5354,1773.200373,2040.943527,343.1858386,625.7777386,1028.093597,148.6448762,462.1611052,2582.485722,619.1730194,773.9662743,410.6822356,2790,24.34952178,1702.209433,516.4971445,488.95935,2707.665928,1297.755864
300,398.7697181,15934.14688,53.0352125,23.02937526,3.643142094,5,6,0.564645137,0.028034887,0.017662653,0.010372234,20.14080285,2755883.086,3308383.057,1915379.664,1393003.392,0.3,0.4,0.3,0.4,1053761.465,12527.79847,1784.657813,2040.943527,343.1858386,628.476086,1032.24567,148.9509045,463.6263783,2634.403662,616.3484087,770.4355108,407.3294279,2790,24.44897377,1701.876327,526.8807325,490.232816,2718.989876,1287.160992
350,398.7697181,16027.81026,45.72487823,21.38337631,3.421445779,5,6,0.65875266,0.033874082,0.019756319,0.014117763,19.44710011,3615114.768,4339873.67,2512558.441,1827315.23,0.1,0.4,0.1,0.4,1027942.982,12569.42777,1653.796455,2040.943527,343.1858386,632.1553629,1331.285274,138.7568159,416.5840875,2569.857454,668.3824823,835.4781029,443.5921927,2790,24.66039921,1713.760237,513.9714908,496.6817786,2724.413507,1401.751329
350,398.7697181,16129.13358,46.05609829,21.46068458,3.43183703,5,6,0.65875266,0.033802367,0.019684604,0.014117763,19.48835906,3641301.792,4371310.675,2530758.812,1840551.863,0.3,0.3,0.3,0.4,1055648.282,12673.2183,1671.700172,2040.943527,343.1858386,636.7346099,1340.330768,139.2363588,418.7155017,2639.120705,665.915278,832.3940975,440.0356884,2790,24.80818332,1713.675481,527.8241411,498.5650534,2740.064675,1390.512775
300,398.7697181,16250.02544,54.13012743,23.2658822,3.675067812,5,6,0.564645137,0.027860048,0.017487814,0.010372234,20.26719915,2812778.447,3376684.81,2310363.291,1066321.519,0.3,0.3,0.3,0.3,1114388.489,12846.36548,1839.494704,2040.943527,343.1858386,641.4511958,1121.637266,150.4129637,470.6721992,2785.971222,613.6599556,767.0749445,401.7144172,2790,24.86268888,1703.266486,557.1942443,495.0022119,2755.462943,1269.417558
300,398.7697181,16390.18403,54.59327958,23.36520481,3.688480032,5,6,0.564645137,0.02778812,0.017415887,0.010372234,20.31965918,2836845.347,3405576.647,1971649.638,1433927.009,0.3,0.4,0.1,0.4,1186872.99,13000.23633,1863.534216,2040.943527,343.1858386,646.9397066,1060.628931,151.0267696,473.6526017,2967.182474,599.9477038,749.9346298,387.2114509,2790,25.05084128,1700.246122,593.4364948,498.4691297,2792.151746,1223.588185
300,398.7697181,16507.59374,54.98103586,23.44803528,3.699667333,5,6,0.564645137,0.027728798,0.017356564,0.010372234,20.36313067,2856994.432,3429765.224,1985653.551,1444111.673,0.1,0.4,0.3,0.4,1221237.898,13121.02829,1883.297012,2040.943527,343.1858386,651.5347518,1067.685323,151.5385676,476.1478287,3053.094745,596.5654479,745.7068099,382.8795091,2790,25.21183159,1700.077884,610.6189489,500.58059,2811.277423,1209.899249
350,398.7697181,16693.00491,47.65318413,21.82960928,3.481456044,5,6,0.65875266,0.033470065,0.019352302,0.014117763,19.68184597,3767571.098,4522894.475,3094612.009,1428282.466,0.1,0.3,0.1,0.3,1180482.212,13245.43379,1758.720269,2040.943527,343.1858386,658.8149603,1476.908406,141.523755,428.9928124,2951.20553,657.571116,821.963895,426.3214869,2790,25.53622046,1715.01491,590.2411059,507.5434364,2812.799452,1347.175899
350,398.7697181,16811.79502,47.98910972,21.9064168,3.491792577,5,6,0.65875266,0.033402883,0.01928512,0.014117763,19.72143143,3794130.153,4554778.095,3116427.117,1438350.977,0.3,0.2,0.3,0.3,1215274.034,13368.51076,1777.334269,2040.943527,343.1858386,663.4592687,1486.717126,141.99976,431.1545069,3038.185085,653.2842609,816.6053261,420.9903482,2790,25.706425,1714.552873,607.637017,509.7211478,2831.911038,1330.3295
350,398.7697181,16728.38776,47.753254,21.85251793,3.484538805,5,6,0.65875266,0.033449957,0.019332194,0.014117763,19.69367759,3775482.853,4532392.381,2624016.642,1908375.739,0.3,0.3,0.1,0.4,1232524.241,13293.66452,1764.846271,2040.943527,343.1858386,660.198467,1386.623328,141.6657362,429.636766,3081.310602,644.7232395,805.9040493,413.5504894,2790,25.59741594,1711.495486,616.2621204,509.4701487,2837.227756,1306.819547
