W_S,W_S_max,WTO,S,b,c_root,S_vert,S_orizz,CL_crociera,CD,Cd0,Cdi,E_crociera,P_curr,P_tot,P_ice,P_em,phi_ice_cl,phi_ice_cr,phi_ice_de,Hp,E_batt_inst,OEW,W_wing,W_fus,W_tail,W_LG,W_propuls,W_fuelsys,W_hydr,W_battery,W_fuel,V_fuel,W_block_fuel,W_payload,ADP,flight_cost,electricity_cost,maintenance_cost,CO2
300,398.7697181,27254.35868,90.7819362,30.13004086,4.606926987,18.15638724,27.23458086,0.564645137,0.027158008,0.016785774,0.010372234,20.79111052,4717326.295,5663056.777,3278611.818,2384444.959,0.1,0.1,0.1,0.4,3654251.976,23934.94384,3843.520525,2040.943527,1416.139768,1075.79178,1709.195701,192.5861875,1025.21047,9135.629941,529.4148439,661.7685549,197.3314488,2790,38.92042232,1742.146923,1827.125988,681.7769623,623.5673782
300,398.7697181,26047.28361,86.77099352,29.45691659,4.515203742,17.3541987,26.03129806,0.564645137,0.027368597,0.016996363,0.010372234,20.6311322,4508904.596,5412850.656,3133755.643,2279095.013,0.1,0.1,0.3,0.4,3324779.099,22696.71309,3663.367064,2040.943527,1353.571644,1028.259877,1638.140582,188.4709621,980.816281,8311.947748,560.5705151,700.7131439,239.6082622,2790,37.47643601,1744.400614,1662.38955,661.9052601,757.1621085
350,398.7697181,26230.0242,74.89312611,27.36660851,4.230762171,14.97862522,22.46793783,0.65875266,0.032549467,0.018431705,0.014117763,20.23850808,5921223.996,7108312.12,4115338.596,2992973.524,0.1,0.1,0.1,0.4,3418310.087,22849.83869,3440.360171,2040.943527,1168.284558,1035.421402,2116.599771,175.6647651,849.3488594,8545.775218,590.1855022,737.7318778,247.6919417,2790,37.77974387,1748.446201,1709.155044,672.0315961,782.7065359
300,398.7697181,25756.38315,85.80091336,29.29179294,4.49271193,17.16018267,25.74027401,0.564645137,0.027422198,0.017049964,0.010372234,20.59080525,4458496.059,5352336.205,3098720.961,2253615.244,0.3,0.1,0.1,0.4,3246209.753,22400.19897,3620.010997,2040.943527,1338.439018,1016.763902,1620.929129,187.4608304,970.0791737,8115.524384,566.1841811,707.7302263,247.9816005,2790,37.11627044,1744.379538,1623.104877,657.0949151,783.6218577
300,398.7697181,25347.4188,84.42474127,29.05593593,4.460591618,16.88494825,25.32742238,0.564645137,0.02750015,0.017127916,0.010372234,20.53243872,4386985.656,5266489.383,3603387.473,1663101.91,0.1,0.1,0.3,0.3,3086474.848,21967.04201,3558.392988,2040.943527,1316.971619,1000.455529,1704.798557,186.0175576,954.8473319,7716.18712,590.3767869,737.9709837,275.5165076,2790,36.61394309,1749.106661,1543.237424,648.9105906,870.6321639
300,398.7697181,24520.01016,81.65245036,28.57489289,4.395104009,16.33049007,24.49573511,0.564645137,0.027664404,0.01729217,0.010372234,20.41052947,4242928.354,5093551.446,2948898.205,2144653.24,0.3,0.1,0.3,0.4,2935794.838,21139.63285,3378.27787,2040.943527,1273.725666,967.6024381,1547.205776,183.0723225,924.1628728,7339.487095,590.3773129,737.9716411,283.9788972,2790,35.62268037,1744.344092,1467.897419,636.6211888,897.3733151
350,398.7697181,25465.8007,72.70110088,26.96314167,4.175937572,14.54022018,21.81033026,0.65875266,0.032712136,0.018594373,0.014117763,20.13786774,5747917.405,6900260.99,4721231.204,2179029.786,0.1,0.1,0.1,0.3,3165052.718,22056.57784,3290.532301,2040.943527,1134.090376,1005.115273,2200.142661,173.1880789,825.0869363,7912.631796,619.222857,774.0285712,284.1591031,2790,36.83749339,1752.76373,1582.526359,657.4913888,897.9427657
300,398.7697181,24330.52888,81.0260375,28.4650729,4.380158041,16.2052075,24.30781125,0.564645137,0.027702931,0.017330697,0.010372234,20.38214436,4210377.893,5054475.262,2926275.152,2128200.11,0.1,0.2,0.1,0.4,2888521.954,20946.27834,3339.791771,2040.943527,1263.954028,960.1791261,1536.056248,182.3996338,917.2295672,7221.304885,594.250539,742.8131737,289.6280831,2790,35.38215474,1744.368387,1444.260977,633.4477983,915.2247427
350,398.7697181,24550.39604,70.07791357,26.4722333,4.109269299,14.01558271,21.02337407,0.65875266,0.03291898,0.018801217,0.014117763,20.0113329,5540522.141,6651287.084,3850745.154,2800541.93,0.1,0.1,0.3,0.4,2998203.244,21140.95119,3116.228573,2040.943527,1093.170342,968.8481102,1988.282818,170.1724294,796.0527958,7495.508111,619.4448502,774.3060627,294.429579,2790,35.75249767,1747.774422,1499.101622,644.0028749,930.3974695
350,398.7697181,24160.82122,68.97335353,26.26277851,4.080837468,13.79467071,20.69200606,0.65875266,0.033010376,0.018892613,0.014117763,19.9559274,5453193.066,6546450.259,3790050.15,2756400.109,0.3,0.1,0.1,0.4,2900282.458,20746.57592,3043.479112,2040.943527,1075.939917,953.5769122,1958.784875,168.8850025,783.827229,7250.706146,624.2453019,780.3066273,303.3066592,2790,35.26404868,1746.994296,1450.141229,637.4557747,958.4490431
300,398.7697181,23208.62595,77.28160383,27.79956903,4.289624319,15.45632077,23.18448115,0.564645137,0.027945053,0.017572819,0.010372234,20.20554932,4015804.874,4820894.207,2791044.014,2029850.192,0.1,0.2,0.3,0.4,2609777.983,19803.02888,3112.872714,2040.943527,1205.543273,915.8057289,1469.309744,178.3207128,875.7851713,6524.444958,615.5970702,769.4963377,321.662008,2790,34.01153644,1744.025327,1304.888992,614.6999953,1016.451945
300,398.7697181,23563.12461,78.48670402,28.01547858,4.318988861,15.6973408,23.54601121,0.564645137,0.027864832,0.017492598,0.010372234,20.26371966,4078425.821,4896069.413,3349942.23,1546127.183,0.3,0.1,0.3,0.3,2652438.747,20152.73618,3184.581878,2040.943527,1224.342061,930.0867545,1591.496474,179.6445039,889.1235433,6631.096869,620.3884246,775.4855308,322.5994367,2790,34.43932401,1747.489523,1326.219374,619.3536677,1019.41422
300,398.7697181,22946.4392,76.41520633,27.64330051,4.268375729,15.28304127,22.9245619,0.564645137,0.028004152,0.017631918,0.010372234,20.16290771,3970784.027,4766847.571,2759753.857,2007093.714,0.3,0.2,0.1,0.4,2544418.469,19537.12311,3061.189837,2040.943527,1192.02803,905.538501,1453.840855,177.3623125,866.1956514,6361.046172,619.3160917,774.1451147,327.8990046,2790,33.68029977,1743.552265,1272.209234,610.2975332,1036.160855
350,398.7697181,23642.03621,67.50123296,25.9809994,4.042601335,13.50024659,20.25036989,0.65875266,0.03313644,0.019018678,0.014117763,19.88000688,5336803.805,6406727.256,4383550.228,2023177.028,0.1,0.1,0.3,0.3,2709124.233,20200.67355,2946.15286,2040.943527,1052.975784,933.2239881,2051.185235,167.152316,767.5334038,6772.810583,651.3626539,814.2033174,335.1680769,2790,34.62113536,1751.997158,1354.562117,626.9741286,1059.131123
350,398.7697181,22760.06303,64.97372441,25.48994398,3.976005011,12.99474488,19.49211732,0.65875266,0.033365083,0.01924732,0.014117763,19.74377403,5136973.125,6166834.484,3570272.596,2596561.888,0.3,0.1,0.3,0.4,2544633.17,19319.792,2784.283628,2040.943527,1013.548277,898.2797536,1851.76279,164.1307875,739.5582614,6361.582925,650.2710327,812.8387908,343.817251,2790,33.54265878,1746.685608,1272.316585,613.7266535,1086.462513
350,398.7697181,23203.76591,66.23129531,25.73544158,4.009292972,13.24625906,19.86938859,0.65875266,0.033249316,0.019131554,0.014117763,19.81251742,5236399.593,6286193.989,4301080.098,1985113.891,0.3,0.1,0.1,0.3,2601253.134,19758.09971,2864.161082,2040.943527,1033.165574,915.6663754,2014.722944,165.6416835,753.4773933,6503.132835,655.6662037,819.5827546,344.2028954,2790,34.06555763,1750.798509,1300.626567,619.580255,1087.681149
350,398.7697181,22552.6994,64.38560682,25.37431907,3.960331338,12.87712136,19.31568205,0.65875266,0.033420649,0.019302886,0.014117763,19.71094759,5090475.186,6111014.629,3537955.838,2573058.791,0.1,0.2,0.1,0.4,2491386.931,19108.19429,2746.784965,2040.943527,1004.374021,890.1487033,1835.997269,163.4189614,733.0488182,6228.467327,654.5051056,818.131382,350.1691791,2790,33.2706551,1746.733067,1245.693465,610.1583543,1106.534606
300,398.7697181,21954.87755,73.10037729,27.03708144,4.185982716,14.62007546,21.93011319,0.564645137,0.028242058,0.017869824,0.010372234,19.99305903,3798534.669,4560065.629,2640037.996,1920027.633,0.3,0.2,0.3,0.4,2296091.045,18526.28609,2865.756203,2040.943527,1140.318831,866.2562231,1394.566955,173.6420805,829.5062347,5740.227613,638.5914534,798.2393168,356.6361327,2790,32.45258679,1743.266119,1148.045523,593.5514316,1126.970179
300,398.7697181,22155.97453,73.80013492,27.16618025,4.203523781,14.76002698,22.14004048,0.564645137,0.028190209,0.017817975,0.010372234,20.02983166,3834896.364,4603717.123,3149911.716,1453805.407,0.1,0.2,0.3,0.3,2302646.517,18718.54266,2905.851421,2040.943527,1151.234599,874.5486733,1501.765915,174.4346361,837.2513398,5756.616293,647.4318633,809.2898291,363.020763,2790,32.69324172,1747.024678,1151.323259,595.7083916,1147.145611
350,398.7697181,22790.00772,65.05866262,25.50659966,3.978263024,13.01173252,19.51759879,0.65875266,0.033357134,0.019239372,0.014117763,19.74847874,5143688.537,6174896.202,4874918.054,1299978.148,0.1,0.1,0.3,0.2,2439107.694,19319.479,2787.892207,2040.943527,1014.873258,899.4540715,2108.009158,164.2333138,740.4983803,6097.769236,680.5287239,850.6609049,372.7382657,2790,33.54953798,1755.702195,1219.553847,610.896965,1177.852919
350,398.7697181,21339.38163,60.91750471,24.68147174,3.866472802,12.18350094,18.27525141,0.65875266,0.033768362,0.0196506,0.014117763,19.50798358,4816279.002,5781847.541,3347385.418,2434462.123,0.1,0.2,0.3,0.4,2180659.417,17871.82784,2529.168686,2040.943527,950.2738607,842.2003374,1742.871521,159.1505447,694.6629341,5451.648542,677.553792,846.94224,385.7791958,2790,31.75639736,1746.462237,1090.329708,589.3475278,1219.062259
350,398.7697181,21700.8667,61.94177717,24.88810502,3.894453688,12.38835543,18.58253315,0.65875266,0.033661933,0.01954417,0.014117763,19.56966244,4897260.355,5879064.051,4022517.509,1856546.542,0.3,0.1,0.3,0.3,2220834.056,18227.59363,2592.108318,2040.943527,966.2518518,856.3614411,1891.305219,160.4240932,705.9998563,5552.08514,683.2730693,854.0913367,387.3684361,2790,32.20065306,1750.246298,1110.417028,594.0038319,1224.084258
300,398.7697181,20930.14117,69.71362926,26.40333866,4.099916493,13.94272585,20.91408878,0.564645137,0.028506456,0.018134222,0.010372234,19.80762311,3622548.165,4348797.317,2517724.763,1831072.555,0.1,0.3,0.3,0.4,2035351.713,17479.97886,2670.347124,2040.943527,1087.487742,826.1217426,1333.85328,169.7490139,792.0207993,5088.379283,660.1623075,825.2028844,387.8187829,2790,31.16183909,1743.324042,1017.675857,576.0785908,1225.507354
