W_S,W_S_max,WTO,S,b,c_root,S_vert,S_orizz,CL_crociera,E_crociera,P_curr,P_tot,P_ice,P_em,phi_ice_cl,phi_ice_cr,phi_ice_de,Hp,E_batt_inst,OEW,W_wing,W_fus,W_tail,W_LG,W_propuls,W_fuelsys,W_hydr,W_elec,W_antiice,W_instr,W_avionics,W_engine_sys,W_furn,W_services,W_crew,W_battery,W_fuel,V_fuel,W_block_fuel,W_payload,ADP
300,447.0636286,30790.24138,102.5606248,30.38166591,5.073690047,24.00121843,34.2594485,0.564645137,19.88102593,5329385.478,6397821.702,3704002.038,2693819.664,0.1,0.1,0.1,0.4,4341270.824,27378.97309,4234.0748,2420.777115,1815.069649,1215.37638,1916.922947,194.123484,1219.494592,270.3410525,119.1772693,189.7105074,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,10853.17706,621.2682943,776.5853679,222.9346227,2790,43.35486748
350,447.0636286,27482.72038,78.45243331,26.57201347,4.495272196,15.74684883,22.7698368,0.65875266,19.36422493,6202631.066,7446135.734,4310920.688,3135215.046,0.1,0.1,0.1,0.4,3770537.982,24052.12143,3175.608107,2420.777115,1199.516206,1084.631153,2211.175003,170.7855767,881.5293815,270.3410525,91.1631222,189.5215192,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,9426.344956,640.5989509,800.7486886,259.4635389,2790,39.54854621
300,447.0636286,28998.39924,96.59271532,29.48447792,4.937332192,21.88421147,31.32308566,0.564645137,19.77533209,5019273.382,6025538.273,3488469.527,2537068.747,0.1,0.1,0.3,0.4,3891359.658,25563.16696,3974.035468,2420.777115,1657.598863,1144.652926,1811.840957,188.6395421,1134.319816,270.3410525,112.2424524,189.5913932,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,9728.399144,645.2322746,806.5403433,266.7298335,2790,41.2434895
300,447.0636286,28567.80452,95.15023953,29.26349528,4.90375821,21.38263312,30.62659844,0.564645137,19.74778437,4944317.622,5935555.369,3436374.161,2499181.208,0.3,0.1,0.1,0.4,3784231.7,25129.17108,3911.54613,2420.777115,1619.974151,1127.558721,1786.391493,187.2876964,1113.862358,270.3410525,110.5662699,189.5586079,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,9460.579249,648.6334411,810.7918013,275.0030013,2790,40.71997286
350,447.0636286,26575.88933,75.86067842,26.12941074,4.42818569,14.96108603,21.67175378,0.65875266,19.29070222,5997720.922,7200145.165,4926415.113,2273730.052,0.1,0.1,0.1,0.3,3481258.05,23118.43643,3020.462886,2420.777115,1140.71868,1048.798435,2290.400177,168.0650139,847.3876426,270.3410525,88.15145694,189.4606106,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,8703.145124,667.4528991,834.3161239,296.5086096,2790,38.4328283
300,447.0636286,28001.71669,93.26011323,28.97138276,4.859384948,20.7385628,29.73209184,0.564645137,19.70886526,4846100.478,5817647.633,3980495.749,1837151.884,0.1,0.1,0.3,0.3,3587004.099,24539.44704,3829.609187,2420.777115,1571.865242,1105.159608,1872.651503,185.5000287,1087.410296,270.3410525,108.3699095,189.5246193,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,8967.510248,672.2696511,840.3370638,304.3503635,2790,40.03616423
350,447.0636286,25518.38039,72.85192854,25.60600236,4.348888099,14.05530577,20.40381979,0.65875266,19.19919003,5759842.189,6914576.457,4003175.844,2911400.614,0.1,0.1,0.3,0.4,3282954.476,22064.27364,2845.393469,2420.777115,1073.295511,1007.200559,2062.259112,164.8451393,808.0005871,270.3410525,84.65523609,189.3914337,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,8207.386189,664.1067567,830.1334459,306.084493,2790,37.17549472
300,447.0636286,27060.75637,90.13788939,28.48229282,4.785109772,19.67516425,28.2533568,0.564645137,19.64105463,4683859.516,5622880.572,3255351.91,2367528.662,0.3,0.1,0.3,0.4,3401353.922,23600.16241,3695.29759,2420.777115,1493.05826,1068.15946,1697.797722,182.5051199,1043.911879,270.3410525,104.7418299,189.4593396,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,8503.384806,670.5939635,838.2424543,313.4903889,2790,38.91478428
350,447.0636286,25054.45121,71.52774512,25.37222312,4.313483576,13.66539521,19.85759059,0.65875266,19.15624697,5655149.181,6788894.575,3930412.649,2858481.926,0.3,0.1,0.1,0.4,3167882.582,21597.43109,2769.195982,2420.777115,1044.129747,988.8929075,2026.964873,163.4060568,790.8167718,270.3410525,83.11651142,189.3553824,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,7919.706455,667.0201201,833.7751501,314.5394606,2790,36.59305875
300,447.0636286,24296.58453,80.92371777,26.9872833,4.558240279,16.63417915,24.01453326,0.564645137,19.41030803,4205061.025,5048092.467,2922579.849,2125512.618,0.1,0.2,0.3,0.4,2885738.822,20844.66583,2875.37188,2420.777115,1266.05298,958.9665854,1534.234614,173.3363182,917.194554,270.3410525,94.03479866,189.2806393,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,7214.347055,661.9187079,827.3983848,336.8212389,2790,35.57794761
300,447.0636286,24707.75653,82.28491167,27.21330934,4.592522529,17.07132214,24.62474966,0.564645137,19.44878217,4275793.112,5133004.937,3512056.009,1620948.927,0.3,0.1,0.3,0.3,2939356.853,21249.56635,2946.581972,2420.777115,1298.420455,975.0974296,1664.017082,174.7239268,935.5674866,270.3410525,95.61653018,189.3029339,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,7348.392132,668.1901783,835.2377228,338.2109937,2790,36.07527327
350,447.0636286,24460.89447,69.83254162,25.06976016,4.267690324,13.17713714,19.1733727,0.65875266,19.09812743,5521122.467,6627998.159,4534946.109,2093052.05,0.1,0.1,0.3,0.3,2957040.163,20978.04924,2671.483295,2420.777115,1007.568608,965.4556966,2118.035068,161.5433089,769.0488967,270.3410525,81.14665481,189.3209045,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,7392.600408,692.8452281,866.0565351,346.7438691,2790,35.85641107
350,447.0636286,23459.23142,66.9706571,24.55068052,4.189136932,12.35414048,18.01807069,0.65875266,18.99518997,5294855.248,6356368.845,3680003.016,2676365.83,0.3,0.1,0.3,0.4,2765170.381,19981.06075,2511.600293,2420.777115,945.8455831,925.8884724,1905.238543,158.3441935,732.2999487,270.3410525,77.82109411,189.2502661,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,6912.925953,688.170671,860.2133387,354.3842904,2790,34.62550482
