W_S,AR,lambda,t_c,W_S_max,WTO,CL_crociera,E_crociera,P_curr,P_tot,P_ice,P_em,phi_ice_cl,phi_ice_cr,phi_ice_de,Hp,E_batt_inst,V_batt,S,OEW,W_wing,W_fus,W_tail,W_LG,W_propuls,W_fuelsys,W_hydr,W_elec,W_antiice,W_instr,W_avionics,W_engine_sys,W_furn,W_services,W_crew,W_battery,W_fuel,V_fuel,W_block_fuel,W_payload,ADP
300,9,0.4,0.2,447.0636286,12125.95463,0.56443313,16.91715331,2098146.471,2518783.279,1458242.951,1060540.328,0.1,0.1,0.1,0.4,1933659.467,2.762370668,40.3774908,9077.063506,801.8144442,2420.777115,566.8765789,478.4783771,799.6825696,124.326561,448.612738,270.3410525,46.91936212,188.506474,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,4834.148669,258.8911273,323.6139091,87.76799761,2790,20.23178681
300,9,0.5,0.2,447.0636286,12163.27119,0.56443313,16.89803218,2104485.17,2526392.761,1462648.44,1063744.32,0.1,0.1,0.1,0.4,1942294.045,2.774705779,40.49947501,9113.206053,830.9195483,2420.777115,568.5891665,479.9239209,801.9427964,124.5059575,449.9063739,270.3410525,47.06110994,188.510779,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,4855.735113,260.0651396,325.0814245,88.033153,2790,20.29098672
300,9,0.6,0.2,447.0636286,12196.70986,0.56443313,16.85690347,2110161.607,2533207.212,1466593.649,1066613.563,0.1,0.1,0.1,0.4,1953393.359,2.790561941,40.60871444,9145.233762,856.6441745,2420.777115,570.1228248,481.2184359,803.9665261,124.6663716,451.064852,270.3410525,47.18804809,188.5161279,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,4883.483396,261.4760985,326.8451232,88.27060524,2790,20.3497399
300,10,0.4,0.2,447.0636286,12295.7774,0.56443313,17.53379314,2126958.718,2553371.81,1478267.89,1075103.92,0.1,0.1,0.1,0.4,1877285.358,2.681836225,40.93196412,9252.041925,938.3885899,2420.777115,574.661063,485.0490272,809.9529993,131.6034633,454.4928972,270.3410525,47.56366997,188.4838141,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,4693.213394,253.7354704,317.169338,88.97324864,2790,20.33816138
300,10,0.5,0.2,447.0636286,12341.18651,0.56443313,17.51607877,2134645.005,2562599.045,1483609.973,1078989.072,0.1,0.1,0.1,0.4,1886559.187,2.695084554,41.0798818,9296.155415,973.9617657,2420.777115,576.7377416,486.8018898,812.6914264,131.8305772,456.0615561,270.3410525,47.73555295,188.488504,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,4716.397969,255.0310909,318.7888636,89.29477528,2790,20.40800199
300,10,0.6,0.2,447.0636286,12381.84665,0.56443313,17.47436179,2141521.669,2570854.345,1488389.358,1082464.987,0.1,0.1,0.1,0.4,1898281.636,2.711830908,41.21221883,9335.29004,1005.455005,2420.777115,578.5956768,488.3701177,815.1408994,132.0334069,457.4649831,270.3410525,47.88933093,188.4942197,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,4745.704089,256.5566117,320.6957647,89.58243446,2790,20.47635571
300,11,0.4,0.2,447.0636286,12483.7851,0.56443313,18.0873609,2158739.644,2591524.182,1500356.106,1091168.077,0.1,0.1,0.1,0.4,1834792.032,2.621131474,41.54356777,9443.595887,1088.494785,2420.777115,583.247624,492.2966886,821.2718685,138.7177125,460.9789205,270.3410525,48.27436429,188.4675224,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,4586.980079,250.189212,312.736515,90.30268311,2790,20.4888419
300,11,0.5,0.2,447.0636286,12538.43478,0.56443313,18.07174066,2167951.59,2602582.941,1506758.545,1095824.396,0.1,0.1,0.1,0.4,1844776.096,2.635394423,41.7208458,9496.81404,1131.470517,2420.777115,585.7365048,494.3974795,824.5508377,139.0003489,462.8589443,270.3410525,48.48036451,188.4726423,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,4611.94024,251.6207408,314.525926,90.68802992,2790,20.57070946
300,11,0.6,0.2,447.0636286,12587.36524,0.56443313,18.03016519,2176190.4,2612473.47,1512484.64,1099988.829,0.1,0.1,0.1,0.4,1857192.873,2.653132675,41.87939644,9544.09077,1169.586517,2420.777115,587.962464,496.2763462,827.4827079,139.2525974,464.5403652,270.3410525,48.66460318,188.4787685,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,4642.982181,253.2744747,316.5930933,91.03266929,2790,20.64993077
300,9,0.4,0.1,447.0636286,13247.71539,0.56443313,18.51564499,2291406.363,2750787.95,1592561.445,1158226.505,0.1,0.1,0.1,0.4,1907733.758,2.72533394,44.09665417,10186.52492,1697.146784,2420.777115,619.0914779,522.5514479,868.4146505,129.6746898,488.0542621,270.3410525,51.24109607,188.5041119,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,4769.334395,271.1904675,338.9880844,95.85229197,2790,21.47762225
300,9,0.5,0.1,447.0636286,13345.07176,0.56443313,18.51266075,2307906.294,2770595.791,1604029.142,1166566.649,0.1,0.1,0.1,0.4,1922190.746,2.74598678,44.41418482,10281.6309,1773.990958,2420.777115,623.5494243,526.3142742,874.266197,130.1201912,491.4216573,270.3410525,51.61007233,188.5117238,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,4805.476865,273.4408625,341.8010782,96.54250399,2790,21.61576971
300,9,0.6,0.1,447.0636286,13432.63128,0.56443313,18.4808298,2322723.989,2788384.14,1614327.66,1174056.48,0.1,0.1,0.1,0.4,1938901.551,2.769859359,44.69934191,10366.7709,1842.732917,2420.777115,627.5528646,529.6934654,879.5190192,130.5188571,494.4457326,270.3410525,51.94142994,188.5202135,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,4847.253878,275.8603787,344.8254734,97.16234603,2790,21.74615796
300,10,0.4,0.1,447.0636286,13721.72595,0.56443313,19.38294243,2374511.541,2850554.071,1650320.778,1200233.293,0.1,0.1,0.1,0.4,1870350.868,2.671929812,45.69596033,10661.22477,2073.145063,2420.777115,641.5448099,541.5036761,897.8618887,138.7148624,505.0148164,270.3410525,53.09951826,188.4937298,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,4675.877171,270.5011861,338.1264826,99.32868182,2790,21.96547383
300,10,0.5,0.1,447.0636286,13849.80011,0.56443313,19.38928144,2396364.941,2876788.645,1665509.216,1211279.429,0.1,0.1,0.1,0.4,1887242.414,2.696060591,46.11651508,10786.56031,2174.292893,2420.777115,647.4491549,546.4873709,905.5950577,139.3236363,509.4747766,270.3410525,53.58821036,188.5028115,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,4718.106034,273.2397958,341.5497447,100.2428359,2790,22.14252188
300,10,0.6,0.1,447.0636286,13965.56017,0.56443313,19.36292488,2416089.774,2900467.915,1679218.267,1221249.649,0.1,0.1,0.1,0.4,1906359.141,2.723370201,46.4961069,10899.43405,2265.339219,2420.777115,652.7784042,550.9856442,912.571395,139.8706308,513.500327,270.3410525,54.0293028,188.5127257,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,4765.897852,276.1261224,345.157653,101.0679494,2790,22.30882622
300,11,0.4,0.1,447.0636286,14272.61263,0.56443313,20.20167178,2468276.677,2963117.26,1715488.94,1247628.32,0.1,0.1,0.1,0.4,1848673.252,2.640961788,47.50041058,11210.66944,2512.313474,2420.777115,666.878246,562.8869387,931.0127784,147.8932818,524.1509126,270.3410525,55.19632153,188.4910843,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,4621.683129,271.9431958,339.9289947,103.2509906,2790,22.5637087
300,11,0.5,0.1,447.0636286,14451.82443,0.56443313,20.22982914,2501043.982,3002453.759,1738262.703,1264191.057,0.1,0.1,0.1,0.4,1870608.484,2.672297834,48.13099645,11386.13924,2651.522933,2420.777115,675.7313064,570.3595704,942.5799861,148.8285279,530.8382413,270.3410525,55.92907352,188.5031976,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,4676.521209,275.6851948,344.6064935,104.6216864,2790,22.80731453
