W_S,AR,lambda,t_c,W_S_max,WTO,CL_crociera,E_crociera,P_curr,P_tot,P_ice,P_em,phi_ice_cl,phi_ice_cr,phi_ice_de,Hp,E_batt_inst,S,OEW,W_wing,W_fus,W_tail,W_LG,W_propuls,W_fuelsys,W_hydr,W_elec,W_antiice,W_instr,W_avionics,W_engine_sys,W_furn,W_services,W_crew,W_battery,W_fuel,V_fuel,W_block_fuel,W_payload
250,9,0.4,0.1,447.063628623853,13726.2224666915,0.470360941634305,18.6036165957403,1746224.98795122,2096308.50894505,1213652.2946524,882656.214292651,0.1,0.3,0.3,0.4,1591141.42836806,54.8553054855006,10573.0154195035,1967.46549108565,2420.77711531044,770.1367096056,541.702692685009,673.496537437798,143.938121803166,602.149170825893,270.34105252,63.742840162105,188.537455019209,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,3977.85357092015,363.207047188007,454.008808985009,186.945436894426,2790
250,9,0.4,0.1,447.063628623853,13805.6161500396,0.470360941634305,18.6330600691595,1756226.33774724,2108314.9312692,1220603.38126112,887711.550008084,0.1,0.4,0.3,0.4,1408090.69295137,55.1694844155431,10601.378538657,1980.61377542949,2420.77711531044,774.547599769621,544.805284874804,677.103066861291,144.331594259133,605.481021193906,270.34105252,64.1079216641175,188.541873725557,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,3520.22673237842,414.2376113826,517.79701422825,235.36030406869,2790
250,9,0.4,0.1,447.063628623853,13885.9281873764,0.470360941634305,18.6625965912417,1766338.4105372,2120454.27435438,1227631.42199464,892822.85235974,0.1,0.5,0.3,0.4,1222934.34028408,55.4871415592744,10630.0713313368,1993.92578518089,2420.77711531044,779.007322038793,547.942225694869,680.748218787987,144.728235403054,608.849757827836,270.34105252,64.4770449122701,188.54634061204,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,3057.3358507102,465.856856039603,582.321070049504,284.332225162558,2790
250,9,0.4,0.1,447.063628623853,13766.7159876518,0.470360941634305,18.6186643630146,1751326.62553043,2102432.92380604,1217198.00851929,885234.915286755,0.3,0.3,0.3,0.4,1496545.17774277,55.015566557135,10587.4801009554,1974.17003828859,2420.77711531044,772.386682207048,543.285309101209,675.336370626708,144.138976660708,603.84873072455,270.34105252,63.9290663763789,188.538526091123,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,3741.36294435692,389.235886696407,486.544858370509,211.640303731261,2790
250,9,0.4,0.1,447.063628623853,13846.577565562,0.470360941634305,18.6481554540745,1761384.41140684,2114507.09652682,1224188.31904184,890318.777484977,0.3,0.4,0.3,0.4,1312415.8376243,55.3315183506123,10616.011223486,1987.40174475067,2420.77711531044,776.822462346617,546.405408963768,678.962588075304,144.53406571855,607.199382212317,270.34105252,64.2962079772196,188.542962562499,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,3281.03959406074,440.566342075978,550.707927594973,260.338948397421,2790
250,9,0.4,0.1,447.063628623853,13927.3649553378,0.470360941634305,18.6777394824839,1771553.72196792,2126715.15242248,1231256.14087617,895459.011546307,0.3,0.5,0.3,0.4,1126162.87448249,55.6509735418129,10644.8745103727,2000.7984801965,2420.77711531044,781.307428160593,549.560106162385,682.627699672534,144.932340189045,610.587187041309,270.34105252,64.6674205884963,188.547447482749,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,2815.40718620622,492.490444965132,615.613056206415,309.599356622593,2790
250,9,0.4,0.1,447.063628623853,13807.4479013848,0.470360941634305,18.6337364995631,1756457.02931809,2108591.87193047,1220763.71532817,887828.156602305,0.5,0.3,0.3,0.4,1401397.85261189,55.1767312804539,10602.0304013206,1980.91709184961,2420.77711531044,774.64934155463,544.876849406719,677.186240050157,144.340656292504,605.557873799893,270.34105252,64.1163426499746,188.53960483806,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,3503.49463152972,415.417500064208,519.27187508026,236.479734463952,2790
250,9,0.4,0.1,447.063628623853,13887.7811723636,0.470360941634305,18.6632751529165,1766571.65995354,2120734.28565851,1227793.5338023,892940.751856216,0.5,0.4,0.3,0.4,1216180.71538868,55.4944687754555,10630.7307967542,1994.23288471784,2420.77711531044,779.110191909089,548.014583725017,680.832284022302,144.737370493437,608.927462554651,270.34105252,64.4855592677319,188.544059185101,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,3040.45178847171,467.050375609363,583.812969511704,285.464554512451,2790
250,9,0.4,0.1,447.063628623853,13969.0477788117,0.470360941634305,18.6929066257905,1776798.62256349,2133011.55169687,1234901.42466661,898110.127030261,0.5,0.5,0.3,0.4,1028821.77434663,55.8157350281026,10659.7658655677,2007.715020201,2420.77711531044,783.620583976567,551.187165822207,684.517495597064,145.137286884859,612.33447359122,270.34105252,64.8588763646055,188.548562251148,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,2572.05443586658,519.28191324394,649.102391554925,335.015892955835,2790
300,9,0.4,0.1,447.063628623853,14301.2080822699,0.564433129961166,18.9100863969612,2473983.51967267,2969968.21089156,2657339.97816614,312628.232725428,0.3,0.4,0.3,0.1,166731.96704728,47.6102351202356,10742.9515409371,1868.52515052926,2420.77711531044,668.420118975345,564.188392327045,1116.25773534054,134.514802532564,525.315595896067,270.34105252,55.3239395987245,188.559404858455,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,416.829917618199,768.256541332808,960.32067666601,565.116563107233,2790
