W_S,W_S_max,WTO,S,b,c_root,S_vert,S_orizz,CL_crociera,CD,Cd0,Cdi,E_crociera,P_curr,P_tot,P_ice,P_em,phi_ice_cl,phi_ice_cr,phi_ice_de,Hp,E_batt_inst,OEW,W_wing,W_fus,W_tail,W_LG,W_propuls,W_fuelsys,W_hydr,W_battery,Wbatt/MTOW,W_fuel,V_fuel,W_block_fuel,W_payload,ADP,flight_cost,electricity_cost,maintenance_cost,DOC,PREE,CO2
290,398.7697181,33530.46788,115.5504225,35.65185336,4.704076693,23.1100845,34.66512676,0.545823633,0.024690015,0.015822363,0.008867652,22.10705959,5478523.678,6576859.157,3288429.578,3461504.819,0.1,0.1,0.1,0.5,4819798.959,29023.4922,5130.91385,2185.311504,1802.512211,1323.669204,1895.002846,226.1996359,1299.354718,11183.06197,0.333519413,786.9756793,983.7195991,193.8983369,3720,36.98007791,1713.945129,2409.899479,725.2013952,0.27392473,0.888279924,612.7187445
300,398.7697181,32884.39696,109.5560105,34.71478238,4.59140908,21.91120211,32.86680316,0.564645137,0.025637807,0.016148048,0.009489758,22.02392538,5692888.595,6834199.994,3417099.997,3596947.365,0.1,0.1,0.1,0.5,4701509.866,28372.2486,4882.648132,2185.311504,1709.003243,1298.276352,1964.41984,220.5125007,1233.006959,10908.60358,0.331725821,792.1483621,990.1854526,201.485235,3720,36.42142669,1711.902023,2350.754933,717.4177442,0.272821151,0.854831869,636.6933425
310,398.7697181,32324.9246,104.1976868,33.85519982,4.488107002,20.83953736,31.25930604,0.583466642,0.026609646,0.016476693,0.010132953,21.92688496,5917688.421,7104067.732,3552033.866,3738983.017,0.1,0.1,0.1,0.5,4597681.475,27806.01832,4661.392489,2185.311504,1625.416842,1275.937019,2037.061705,215.2897075,1173.699595,10667.6974,0.330014611,798.9062719,998.6328399,209.44145,3720,35.94264714,1710.504757,2298.840738,710.8172466,0.271922974,0.822358707,661.834982
290,398.7697181,32911.77502,113.4270627,35.32276447,4.664503045,22.68541254,34.0281188,0.545823633,0.024762257,0.015894605,0.008867652,22.04256376,5377850.076,6456002.493,3228001.246,3397896.049,0.1,0.1,0.2,0.5,4644076.617,28394.17103,5027.40932,2185.311504,1769.389165,1299.344693,1862.350574,224.2031357,1275.852802,10775.34499,0.327400907,797.6039881,997.0049852,213.7135024,3720,36.36784259,1715.439897,2322.038309,715.9121884,0.273049387,0.805920066,675.3346677
290,398.7697181,32841.87651,113.1871043,35.28538149,4.660008068,22.63742086,33.95613128,0.545823633,0.024770572,0.015902921,0.008867652,22.03516433,5366473.071,6442344.623,3221172.311,3390707.696,0.1,0.12,0.1,0.5,4624351.617,28323.38588,5015.740431,2185.311504,1765.645968,1296.59581,1858.658458,223.9762908,1273.196878,10729.57838,0.326704181,798.4906344,998.113293,215.6475264,3720,36.29882443,1715.524345,2312.175809,714.8649905,0.272941267,0.798692213,681.4461834
290,398.7697181,32760.79594,112.9087419,35.24196591,4.654787828,22.58174839,33.87262258,0.545823633,0.024780258,0.015912606,0.008867652,22.02655194,5353275.242,6426500.891,3213250.445,3382368.89,0.2,0.1,0.1,0.5,4601493.694,28241.33198,5002.210646,2185.311504,1761.303695,1293.406985,1854.374896,223.7128261,1270.115889,10676.54264,0.325893872,799.4639593,999.3299491,217.8374941,3720,36.21878017,1715.607435,2300.746847,713.6505026,0.272814207,0.790662786,688.3664813
320,398.7697181,31874.95473,99.55524757,33.09241187,4.39647984,19.91104951,29.86657427,0.602288146,0.027598221,0.016800985,0.010797236,21.82344069,6163410.56,7399052.293,3699526.147,3894238.049,0.1,0.1,0.1,0.5,4512555.91,27346.56146,4471.596168,2185.311504,1552.997778,1258.413682,2116.292231,210.6501503,1122.315833,10470.18616,0.328476895,808.3932706,1010.491588,218.1381568,3720,35.5674891,1710.006451,2256.277955,705.770174,0.271300208,0.789573005,689.3165755
300,398.7697181,32239.24795,107.3860795,34.36927224,4.549880855,21.47721589,32.21582384,0.564645137,0.025719257,0.016229499,0.009489758,21.95417758,5580131.88,6698837.791,3349418.896,3525704.101,0.1,0.1,0.2,0.5,4518438.697,27716.73322,4776.63424,2185.311504,1675.153715,1272.561193,1927.924586,218.4138852,1208.98958,10483.8356,0.325188591,802.5147307,1003.143413,221.7520963,3720,35.77941058,1713.340271,2259.219348,707.671888,0.271888177,0.776705171,700.7366244
300,398.7697181,32168.1097,107.150308,34.33152178,4.545343948,21.4300616,32.14509239,0.564645137,0.025728284,0.016238526,0.009489758,21.94647492,5567880.423,6684130.16,3342065.08,3517963.242,0.1,0.12,0.1,0.5,4498183.433,27644.68828,4765.142797,2185.311504,1671.475832,1269.767143,1923.956799,218.1845343,1206.379998,10436.83865,0.32444675,803.4214202,1004.276775,223.7409234,3720,35.70872755,1713.430522,2249.091716,706.5993329,0.271777861,0.76980106,707.0213181
300,398.7697181,32085.56783,106.8767213,34.28766446,4.540073226,21.37534426,32.06301639,0.564645137,0.025738803,0.016249045,0.009489758,21.93750568,5553663.964,6667063.582,3333531.791,3508980.833,0.2,0.1,0.1,0.5,4474705.468,27561.15295,4751.81508,2185.311504,1667.208055,1266.524957,1919.352018,217.9180675,1203.351867,10382.36428,0.323583623,804.4148778,1005.518597,225.9917875,3720,35.6267299,1713.519448,2237.352734,705.355096,0.271648115,0.76213389,714.1340484
330,398.7697181,31476.76863,95.31086832,32.37930746,4.310859675,19.06217366,28.59326049,0.621109651,0.028613423,0.017130815,0.011482607,21.70693302,6416431.93,7702799.436,3851399.718,4054104.966,0.1,0.1,0.1,0.5,4435805.617,26937.99591,4298.183287,2185.311504,1486.788194,1242.411628,2197.697303,206.3085307,1075.337905,10292.10751,0.326974717,818.7727209,1023.465901,227.0932012,3720,35.24075511,1709.906912,2217.902808,701.4290452,0.270801506,0.758437501,717.6145158
290,398.7697181,32855.13323,113.2325935,35.29247127,4.660860546,22.6465187,33.96977805,0.545823633,0.024768994,0.015901342,0.008867652,22.03656881,5368629.824,6444933.762,3866960.257,2713656.321,0.1,0.1,0.1,0.4,4570754.272,28323.71145,5017.690343,2185.311504,1766.35557,1297.116919,1979.562053,224.0193134,1273.700365,10605.21999,0.322787307,811.4217829,1014.277229,228.0107099,3720,36.55133317,1719.008961,2285.377136,714.1088193,0.273247681,0.75538557,720.5138432
