n,Carico Alare,W_S_max,MTOW,S,b,c root,S_vert,S_orizz,C_L cruise,C_D,C_D_0,C_D_i,E cruise,P_curr,P tot inst,P ice inst,P em inst,Phi climb,Phi cruise,Phi descent,H_P,E batt inst,OEW,W wing,W fus,W tail,W LG,W propuls,W fuelsys,W hydr,W battery,Wfuel,V fuel,W block fuel,W payload,ADP,flight_cost,electricity_cost,maintenance_cost,DOC,PREE,CO2
1,300,398.7697181,32181.40425,107.1943427,34.33857554,4.546191672,21.43886854,32.15830281,0.564645137,0.025726595,0.016236837,0.009489758,21.94791542,5570168.612,6686877.085,4012126.251,2815527.194,0.1,0.1,0.1,0.4,4442473.436,27644.57644,4767.024578,2185.311504,1672.162745,1270.288984,2049.432899,218.2273899,1206.867386,10307.57842,816.8278113,1021.034764,236.57025,3720,35.96971931,1717.043815,2221.236718,705.8019584,0.272094098,0.728054352,747.5619899
2,325,398.7697181,30930.56807,95.10558255,32.3444185,4.306671684,19.02111651,28.53167476,0.611698899,0.028209127,0.017071841,0.011137286,21.68443236,6141716.421,7373008.909,4423805.345,3104424.804,0.1,0.1,0.1,0.4,4193652.66,26370.19615,4270.460278,2185.311504,1483.585868,1220.951195,2246.892558,206.0960078,1073.065747,9730.255962,840.3719127,1050.464891,260.8444178,3720,34.92419752,1715.666138,2096.82633,691.0817479,0.270286249,0.660301652,824.2683604
3,280,398.7697181,32241.20184,115.0612976,35.57631619,4.694992624,23.01225952,34.51838929,0.527002128,0.023996556,0.015729922,0.008266634,21.96157387,4962840.249,5957791.416,3574674.849,2508543.754,0.1,0.1,0.3,0.4,4328425.908,27691.16233,5060.42231,2185.311504,1794.882178,1272.614107,1838.461356,225.7414428,1293.940953,10042.96145,830.0395066,1037.549383,262.5543984,3720,35.84344128,1724.57305,2164.212954,702.9871162,0.272623541,0.656001198,829.671899
4,300,398.7697181,30772.08618,102.5202823,33.58158878,4.455235701,20.50405645,30.75608468,0.564645137,0.025913037,0.016423278,0.009489758,21.79000276,5327289.145,6395305.096,3837183.058,2692760.041,0.1,0.1,0.3,0.4,4040824.186,26211.2948,4540.030214,2185.311504,1599.250411,1214.898295,1965.213197,213.6260388,1155.133632,9375.658124,840.7913845,1050.989231,281.8352247,3720,34.54646945,1720.414812,2020.412093,684.402693,0.27006946,0.611123042,890.5993101
5,350,398.7697181,30109.1518,85.98017371,30.75356745,4.115818623,17.19603474,25.79405211,0.65875266,0.030829315,0.0179127,0.012916615,21.36773572,6797791.655,8160614.232,4896368.539,3436048.098,0.1,0.1,0.1,0.4,4014590.038,25514.45104,3900.586483,2185.311504,1341.235364,1188.707446,2472.415772,196.394582,972.0632752,9314.788758,874.7007535,1093.375942,288.7085442,3720,34.29083564,1718.014877,2007.295019,682.4110593,0.269576272,0.596573962,912.3189998
6,300,398.7697181,30423.08179,101.3315073,33.38632326,4.431779959,20.26630147,30.3994522,0.564645137,0.025962902,0.016473144,0.009489758,21.74815182,5265516.512,6321148.274,3792688.964,2661536.115,0.3,0.1,0.1,0.4,3943827.448,25859.01782,4482.641335,2185.311504,1580.706287,1200.810552,1943.761886,212.438379,1141.975952,9150.602984,844.0639771,1055.079971,290.6079271,3720,34.19409665,1720.570401,1971.913724,679.1034518,0.26949181,0.592674817,918.3210498
7,325,398.7697181,30234.48251,92.97503511,31.98007796,4.262942956,18.59500702,27.89251053,0.611698899,0.028312981,0.017175695,0.011137286,21.60489206,6004130.195,7207839.369,5045487.559,2276159.801,0.1,0.1,0.1,0.3,3928325.823,25648.05207,4165.794128,2185.311504,1450.3507,1193.598818,2333.938954,203.8760554,1049.484277,9114.635585,866.4304367,1083.038046,297.5011698,3720,34.47515207,1721.244853,1964.162912,679.2907409,0.269588587,0.578942261,940.1036964
8,280,398.7697181,31443.20806,112.2268992,35.13539371,4.641974189,22.44537983,33.66806975,0.527002128,0.024094058,0.015827425,0.008266634,21.87270067,4840586.572,5811028.298,4067719.808,1835061.568,0.1,0.1,0.3,0.3,4052973.61,26868.30154,4923.920013,2185.311504,1750.667386,1241.2639,1904.166815,223.0660387,1262.569071,9403.847631,854.9065205,1068.633151,298.7677963,3720,35.25873119,1729.400579,2026.486805,690.0900054,0.271717299,0.576487835,944.1062363
9,325,398.7697181,29431.2276,90.48627496,31.54915252,4.211236844,18.09725499,27.14588249,0.611698899,0.028439857,0.017302571,0.011137286,21.50850815,5843411.353,7014899.584,4208939.75,2953641.93,0.1,0.1,0.3,0.4,3761677.061,24846.38588,4044.659304,2185.311504,1411.527643,1161.64768,2143.956191,201.2489587,1021.938012,8727.971441,864.8417227,1081.052153,309.140185,3720,33.38775503,1719.232137,1880.83853,668.0003249,0.268094598,0.557145296,976.8829845
10,280,398.7697181,30677.74983,109.5061333,34.70687923,4.590459084,21.90122665,32.85183998,0.527002128,0.024191865,0.015925231,0.008266634,21.78427068,4723234.11,5670148.991,3402089.395,2387431.154,0.3,0.1,0.3,0.4,3890357.801,26103.25324,4793.937857,2185.311504,1708.22519,1211.170582,1754.86483,220.4645076,1232.454904,9026.540885,854.4965924,1068.120741,309.9570503,3720,34.27408406,1727.538386,1945.178901,679.3888853,0.270306395,0.555676988,979.4642789
11,325,398.7697181,29078.47659,89.40763693,31.36054856,4.188611555,17.88152739,26.82229108,0.611698899,0.028496821,0.017359535,0.011137286,21.4655139,5773755.201,6931278.752,4158767.251,2918433.159,0.3,0.1,0.1,0.4,3660333.816,24489.73283,3992.260351,2185.311504,1394.701584,1147.79995,2119.881835,200.0986567,1009.999357,8492.831388,868.7437642,1085.929705,318.6580133,3720,33.0259368,1719.553459,1830.166908,662.567322,0.267520539,0.540504217,1006.959322
12,300,398.7697181,29941.89793,99.73706686,33.12261668,4.400107285,19.94741337,29.92112006,0.564645137,0.026031454,0.016541696,0.009489758,21.69087988,5182664.171,6221685.679,4355179.975,1964742.846,0.1,0.1,0.3,0.3,3750406.313,25355.44294,4405.516352,2185.311504,1555.834042,1181.915427,2030.990259,210.8339559,1124.328258,8701.820667,866.4549911,1083.068739,319.8813058,3720,33.93144712,1725.502587,1875.203156,670.768684,0.269109688,0.538437217,1010.824926
