W_S,W_S_max,WTO,S,b,c_root,S_vert,S_orizz,CL_crociera,CD,Cd0,Cdi,E_crociera,P_curr,P_tot,P_ice,P_em,phi_ice_cl,phi_ice_cr,phi_ice_de,Hp,E_batt_inst,OEW,W_wing,W_fus,W_tail,W_LG,W_propuls,W_fuelsys,W_hydr,W_battery,W_fuel,V_fuel,W_block_fuel,W_payload,ADP,flight_cost,electricity_cost,maintenance_cost,DOC,PREE,CO2
280,398.769718124363,22755.596045841,81.1843277026554,29.8835674699191,4.01154407736775,16.2368655405311,24.3552983107966,0.527002128150666,0.0255518292811016,0.0172851954680417,0.00826663381305989,20.6248297275703,3501653.96567327,4203666.22529804,2522199.73517882,1769964.72644128,0.1,0.1,0.3,0.4,1790260.58131274,18498.5680106879,3649.6163779999,2185.31150416717,1266.42325366711,897.916663533493,1324.8304931329,191.079817320701,918.981565611875,4153.82367319636,537.0280351531,671.285043941375,122.778261796502,3720,26.4885432617949,1877.85878426338,895.130290656369,681.47955828308,0.310438261919987,0.757463077251754,387.979307276947
280,398.769718124363,21928.2234982909,78.2547120987047,29.3394245527371,3.94636486597832,15.6509424197409,23.4764136296114,0.527002128150666,0.0257428420280728,0.0174762082150129,0.00826663381305989,20.4717928026737,3375293.36889596,4051972.83180787,2431183.69908472,1706093.8239191,0.1,0.2,0.3,0.4,1578762.56229832,17650.8224885166,3454.81342174289,2185.31150416717,1220.72313604419,865.51383935906,1279.91950772708,187.752238885272,886.555794517522,3663.09875449652,557.401009774314,696.751262217892,155.170542713207,3720,25.5929704708387,1884.93347129891,789.381281149159,665.220162626495,0.309324190781693,0.599340560224027,490.338914973735
280,398.769718124363,21151.0408718644,75.4630156262291,28.8113375581301,3.88314010971367,15.0926031252458,22.6389046878687,0.527002128150666,0.0259374456304091,0.0176708118173492,0.00826663381305989,20.318196928876,3254881.51970748,3907420.79196576,2344452.47517946,1645229.80714348,0.1,0.3,0.3,0.4,1381092.09864163,16855.1603753774,3272.52238168433,2185.31150416717,1177.17446809349,834.636504449171,1237.03543131281,184.520249518367,855.656549353982,3204.45700144692,575.880496487014,719.850620608768,185.144131529061,3720,24.7452421891032,1891.33605070182,690.546049320813,649.846614022932,0.308236045443466,0.502311357275735,585.055455631834
280,398.769718124363,20444.5620383594,72.9616054974996,28.3298016313651,3.82551708713862,14.5923210994999,21.8884816492499,0.527002128150666,0.0261233792164944,0.0178567454034345,0.00826663381305989,20.1735818242808,3146990.34237185,3777899.57067449,2266739.74240469,1590694.55607347,0.1,0.4,0.3,0.4,1197939.98247061,16130.7583539207,3111.84551364723,2185.31150416717,1138.1540802474,806.969894518094,1198.53487527122,181.570889459152,827.970271284633,2779.50121350832,593.803684438687,742.254605548359,213.339243018268,3720,23.9680162604895,1897.57760942985,598.969991235305,635.778326986044,0.307286692287483,0.435925424147288,674.152007937728
280,398.769718124363,19775.5872921137,70.5516757694296,27.8580048363792,3.769087378683,14.1103351538859,21.1655027308289,0.527002128150666,0.0263139419312032,0.0180473081181433,0.00826663381305989,20.0274869317753,3043044.91068462,3653115.13887709,2191869.08332625,1538153.74268509,0.1,0.5,0.3,0.4,1025904.69680707,15445.5697034348,2959.63427206577,2185.31150416717,1100.56072776551,780.315127221463,1161.37180602301,178.679040644478,801.296522820672,2380.33907494951,610.017588678848,762.52198584856,239.490805374586,3720,23.226844100819,1903.20622908029,512.952348403534,622.378001414161,0.306344013143308,0.38832388514682,756.790944983691
280,398.769718124363,21791.3586162727,77.7695134746064,29.2483272721821,3.93545607512947,15.5539026949213,23.3308540423819,0.527002128150666,0.0257757451979172,0.0175091113848573,0.00826663381305989,20.4456602167704,3354365.71285333,4026849.5952621,2416109.75715726,1695515.61905773,0.3,0.1,0.3,0.4,1543771.75086706,17510.8468217472,3422.90801248585,2185.31150416717,1213.15434983146,860.147335839154,1272.47245989976,187.194890772375,881.185486037771,3581.91188014723,560.511794525499,700.639743156874,160.280903835901,3720,25.4443861629118,1885.98380847519,771.885875433529,662.524687542632,0.309124641646606,0.580231317482558,506.487656121447
280,398.769718124363,21024.9309912603,75.0168770944486,28.726044768449,3.87293151891354,15.0033754188897,22.5050631283346,0.527002128150666,0.0259697734134638,0.0177031396004039,0.00826663381305989,20.2929043607845,3235638.60912047,3884320.05896815,2330592.03538089,1635503.18272343,0.3,0.2,0.3,0.4,1348569.11080803,16726.126546035,3243.69243575484,2185.31150416717,1170.21499417787,829.702028948358,1230.17400276637,183.997998690434,850.718568450146,3128.99605559555,578.804445225327,723.505556531659,189.907080096044,3720,24.6072139320082,1892.32471497416,674.284555404014,647.346564277829,0.308052719983343,0.489713179482125,600.106373103498
280,398.769718124363,20327.2020759553,72.5455942535575,28.2489209845108,3.81584127639389,14.5091188507115,21.7636782760672,0.527002128150666,0.0261554427295515,0.0178888089164916,0.00826663381305989,20.1488513729205,3129046.88624753,3756358.80701985,2253815.28421191,1581624.76085046,0.3,0.3,0.3,0.4,1167533.09331625,16010.6668487185,3085.39799145997,2185.31150416717,1131.66457262907,802.368644850918,1192.12466871624,181.075288087466,823.365747281364,2708.9501120005,596.535227236801,745.669034046002,217.787387973072,3720,23.8385843952317,1898.50089167097,583.766546658126,633.437516966648,0.307114751418082,0.427021972509715,688.208145994909
280,398.769718124363,19666.743296852,70.1669452485475,27.7819437357076,3.75999270763574,14.0333890497095,21.0500835745643,0.527002128150666,0.026345478127533,0.0180788443144731,0.00826663381305989,20.0035135289463,3026450.65915498,3633194.06861342,2179916.44116805,1529765.9236267,0.3,0.4,0.3,0.4,997465.799944016,15334.1404980288,2935.56585036562,2185.31150416717,1094.55917929146,776.059859812451,1155.43234899947,178.212628112027,797.038222248301,2314.35417629151,612.602798823113,765.753498528891,243.66364807728,3720,23.1058771794918,1904.08104556958,498.732899972008,620.194008584772,0.306185214902056,0.381673674895093,769.977127924203
280,398.769718124363,19062.3642041063,68.0280224355862,27.3552233913644,3.70898390346106,13.6056044871172,20.4084067306758,0.527002128150666,0.026526790169282,0.0182601563562221,0.00826663381305989,19.8667884349209,2934194.33626336,3522442.18038819,2113465.30823291,1483133.54963713,0.3,0.5,0.3,0.4,838626.200141121,14713.969731098,2802.82915471188,2185.31150416717,1061.19336023763,752.402566275826,1122.37763580427,175.594899576146,773.364050992506,1945.80911822041,628.394473008253,785.493091260316,268.2466387397,3720,22.4298825170579,1909.59266711769,419.31310007056,608.001323943076,0.305374826693482,0.346695863317956,847.659378417452
