n,W_S,W_S_max,WTO,S,b,c_root,S_vert,S_orizz,CL_crociera,CD,Cd0,Cdi,E_crociera,P_curr,P_tot,P_ice,P_em,phi_ice_cl,phi_ice_cr,phi_ice_de,Hp,E_batt_inst,OEW,W_wing,W_fus,W_tail,W_LG,W_propuls,W_fuelsys,W_hydr,W_battery,W_fuel,V_fuel,W_block_fuel,W_payload,ADP,flight_cost,electricity_cost,maintenance_cost,DOC,PREE,CO2
1,300,398.7697181,23060.49539,76.8166148,29.06858722,3.91393514,15.36332296,23.04498444,0.564645137,0.027295601,0.017805842,0.009489758,20.68630565,3991642.523,4791887.783,2774250.822,2017636.961,0.1,0.1,0.1,0.4,1942916.325,18816.7387,3591.552626,2185.311504,1198.289744,910.2953842,1461.008897,186.0949873,870.638548,4508.020736,523.7566835,654.6958543,94.86378682,3720,26.94909689,1867.710216,971.4581623,691.4971329,0.310422373,0.980353021,299.7695663
2,325,398.7697181,22591.58242,69.44797047,27.63924158,3.742931798,13.88959409,20.83439114,0.611698899,0.029836113,0.018698827,0.011137286,20.50196364,4484802.356,5383916.393,3117004.228,2266912.166,0.1,0.1,0.1,0.4,1870223.547,18329.61582,3336.773475,2185.311504,1083.343636,891.556066,1629.91243,177.3374158,789.0804166,4339.356475,541.9665939,677.4582423,106.584027,3720,26.59751876,1868.59992,935.1117736,686.4862663,0.309922491,0.872551006,336.8055254
3,280,398.7697181,22767.20351,81.22530257,29.89110785,4.012447508,16.24506051,24.36759077,0.527002128,0.025549247,0.017282613,0.008266634,20.62691429,3503421.3,4205787.875,2434929.822,1770858.052,0.1,0.1,0.3,0.4,1808912.195,18514.36738,3652.666999,2185.311504,1267.062435,898.3698638,1292.662828,191.1259099,919.4350865,4197.099785,532.8361336,666.045167,118.5300462,3720,26.50499888,1875.970456,904.4560977,682.2086576,0.310297652,0.784611185,374.554946
4,350,398.7697181,22324.42605,63.7322923,26.4774473,3.604138678,12.74645846,19.11968769,0.65875266,0.032510959,0.019594343,0.012916615,20.26248026,5038822.628,6049006.756,3502056.543,2546950.213,0.1,0.1,0.1,0.4,1819629.844,18038.79637,3151.419022,2185.311504,994.1827353,881.116273,1818.475131,170.2044718,725.817758,4221.967239,565.6296855,707.0371069,119.7506522,3720,26.45916871,1872.162269,909.8149221,685.2287718,0.310202061,0.776613724,378.412061
5,300,398.7697181,22173.30473,73.8501651,28.50178619,3.846094412,14.77003302,22.15504953,0.564645137,0.027510857,0.018021099,0.009489758,20.52444736,3837496.096,4606838.05,2667116.766,1939721.284,0.1,0.1,0.3,0.4,1714775.654,17908.0641,3386.469308,2185.311504,1152.015038,875.1415541,1407.986969,182.6245292,837.8050873,3978.68097,545.2406368,681.5507959,129.8326837,3720,25.98659779,1875.417991,857.387827,673.9853561,0.309233184,0.716306536,410.2712806
6,300,398.7697181,22130.49323,73.70858044,28.47445144,3.842823666,14.74171609,22.11257413,0.564645137,0.027521527,0.018031769,0.009489758,20.51648981,3830138.894,4598005.875,2662003.401,1936002.474,0.1,0.2,0.1,0.4,1703709.716,17864.38935,3376.79162,2185.311504,1149.806409,873.4637104,1405.453406,182.4570854,836.2379902,3953.005404,546.1038829,682.6298537,131.3444191,3720,25.9401459,1875.706192,851.8548582,673.1409689,0.309165721,0.70806206,415.0483643
7,300,398.7697181,21979.40764,73.20880036,28.37775192,3.831253798,14.64176007,21.96264011,0.564645137,0.027559495,0.018069737,0.009489758,20.48822477,3804168.686,4566829.155,2643953.721,1922875.434,0.3,0.1,0.1,0.4,1664462.731,17709.82688,3342.671172,2185.311504,1142.010161,867.5410862,1396.508025,181.8646785,830.7062903,3861.943209,549.5807631,686.9759538,137.0989417,3720,25.77561968,1876.920399,832.2313653,670.1509342,0.308950319,0.678342216,433.2326558
8,350,398.7697181,22143.00825,63.2178777,26.37037457,3.59135741,12.64357554,18.96536331,0.65875266,0.032562564,0.019645949,0.012916615,20.230368,4998151.818,6000182.255,4105387.858,1894794.396,0.1,0.1,0.1,0.3,1712744.135,17839.38466,3112.515422,2185.311504,986.1581987,874.0042125,1928.063766,169.5464045,720.1240792,3973.967371,583.6235887,729.5294858,140.3811925,3720,26.4782553,1880.091389,856.3720677,680.2790946,0.310563457,0.662481906,443.6045682
9,325,398.7697181,21629.47127,66.47591601,27.04135862,3.671481629,13.2951832,19.9427748,0.611698899,0.030097866,0.01896058,0.011137286,20.32366335,4292873.394,5153509.477,2983610.75,2169898.727,0.1,0.1,0.3,0.4,1618458.488,17344.12283,3125.632666,2185.311504,1036.981499,853.4008305,1564.304469,173.6683413,756.1849208,3755.202597,565.348442,706.6855525,145.239307,3720,25.54182918,1877.282349,809.2292442,667.286464,0.308646773,0.640322526,458.9562102
10,325,398.7697181,21582.97844,66.33435657,27.0125512,3.668040268,13.26687131,19.90030697,0.611698899,0.030110872,0.018973586,0.011137286,20.31488504,4283731.786,5142535.158,2977257.197,2165277.961,0.1,0.2,0.1,0.4,1606208.038,17296.70296,3115.701904,2185.311504,1034.773263,851.5834921,1561.175648,173.4914671,754.6181031,3726.778683,566.275479,707.8443487,146.8991801,3720,25.49080735,1877.602703,803.104019,666.3595086,0.308573194,0.633087264,464.201409
